,action_idx = 0,action_idx = 1,action_idx = 2,action_idx = 3,action_idx = 4,action_idx = 5,action_idx = 6,action_idx = 7,action_idx = 8,action_idx = 9
UCB1,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,99.89
Expected Reward,0.02,-0.67,-1.09,-1.1,-1.69,1.18,-0.84,-0.57,-0.98,1.66
